"household_key","zip5","length_of_residence","income","children","mosaic_household","mosaic_global_household","kcl_b_ind_mosaicsgrouping","new_mover_flag","motorcycle_indicator","sc_vehicle_manufacturer_name","sc_vehicle_model_name","target"
20247887,2886,9,"50-59,999",Yes,Tough Times,Low Income Elders,Economic Challenges,N,N,HONDA,CIVIC,0
100065197,2823,0,"0",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
18235123,2828,0,"0",No,Unspoiled Splendor,Bourgeois Prosperity,Thriving Boomers,N,N,Unknown,Unknown,0
9215501,2840,0,"0",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,N,N,Unknown,Unknown,0
37831311,6040,0,"0",No,Unknown,Unknown,Unknown,N,N,CHRYSLER,CONCORDE,0
10168856,2920,7,"90-99,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,PONTIAC,GRAND PRIX,0
6914909,2809,1,"100-149,999",Yes,Fast Track Couples,Career and Family,Promising Families,N,Y,FORD,F-350,1
14351270,2895,0,"0",No,Blue Collar Comfort,Hard Working Blue Collar,Family Union,N,N,CHEVROLET,CRUZE,0
10136600,2920,25,"60-69,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,JEEP,WRANGLER,1
10919397,2852,11,"175 - 199,999",Yes,Unknown,Unknown,Unknown,N,Y,HONDA,ACCORD,0
8905209,2889,15,"100-149,999",Yes,Destination Recreation,Routine Service Workers,Middle Class Melting Pot,N,N,SUBARU,LEGACY,0
16654352,2871,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
13081281,2893,0,"0",No,Unknown,Unknown,Unknown,N,Y,DODGE,CARAVAN,1
5218363,2816,3,"100-149,999",Yes,Bohemian Groove,Metropolitan Strugglers,Significant Singles,N,N,Unknown,Unknown,0
3368997,2919,3,"40-49,999",Yes,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,FORD,FOCUS,1
5399250,2904,0,"0",No,Unknown,Unknown,Unknown,N,N,TOYOTA,RAV4,0
15801383,2916,15,"90-99,999",Yes,Unknown,Unknown,Unknown,N,Y,VOLVO,S90,1
11976894,2920,12,"30-39,999",No,Unknown,Unknown,Unknown,N,N,HONDA,ACCORD,1
10891597,2920,0,"0",No,Family Fun-tastic,Career and Family,Flourishing Families,N,N,Unknown,Unknown,0
5726121,2920,15,"100-149,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,VOLVO,S80,1
37532786,2920,13,"100-149,999",Yes,Platinum Prosperity,Bourgeois Prosperity,Power Elite,N,Y,HONDA,ACCORD,0
9776224,2818,15,"40-49,999",No,Unknown,Unknown,Unknown,Y,N,Unknown,Unknown,1
959177,2910,15,"50-59,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
2852954,2919,15,"150 - 174,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,VOLVO,XC90,1
2017856,2889,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
20272662,2910,7,"70-79,999",No,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,LEXUS,LS430,0
8640748,2864,15,"100-149,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
5752779,2914,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
3928445,2904,15,"70-79,999",Yes,Progressive Potpourri,Routine Service Workers,Middle Class Melting Pot,N,Y,KIA,OPTIMA,0
1146606,2816,15,"20-29,999",No,Family Fun-tastic,Career and Family,Flourishing Families,N,Y,TOYOTA,LIBERTY,0
9796829,2871,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
99851820,2920,0,"0",No,Mid-scale Medley,Hard Working Blue Collar,Cultural Connections,N,N,Unknown,Unknown,0
17155633,2852,15,"100-149,999",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
297746,6109,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
1746351,2886,15,"90-99,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,NISSAN,XTERRA,0
2244946,2857,15,"150 - 174,999",Yes,Sports Utility Families,Career and Family,Surburban Style,N,N,HONDA,CRV,0
20321125,2862,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
17455882,2940,0,"10-19,999",No,Unknown,Unknown,Unknown,N,N,CHEVROLET,TRAILBLAZER,0
6262938,2864,7,"100-149,999",Yes,Fast Track Couples,Career and Family,Promising Families,N,N,AUDI,A4 QUATTRO,1
4037848,2801,9,"50-59,999",Yes,Unknown,Unknown,Unknown,N,N,FORD,WINDSTAR,0
